year,prospect_name,consensus_rank,big_board_rank,expected_pick,draft_range_min,draft_range_max,tier,source,source_count,confidence,notes
2026,AJ Dybantsa,1,3,1,1,3,1,consensus_reference,3,0.86,"Market prior compiled 2026-06-14 from mock-draft sources (NBA.com consensus top-four context, Tankathon mock, CBS Sports mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Darryn Peterson,2,2,2,1,5,1,consensus_reference,3,0.86,"Market prior compiled 2026-06-14 from mock-draft sources (NBA.com consensus top-four context, Tankathon mock, CBS Sports mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Cameron Boozer,3,1,3,2,6,1,consensus_reference,3,0.86,"Market prior compiled 2026-06-14 from mock-draft sources (NBA.com consensus top-four context, Tankathon mock, CBS Sports mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Caleb Wilson,4,4,4,1,6,2,consensus_reference,3,0.86,"Market prior compiled 2026-06-14 from mock-draft sources (NBA.com consensus top-four context, Tankathon mock, CBS Sports mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Keaton Wagler,5,5,5,4,7,2,consensus_reference,2,0.74,"Market prior compiled 2026-06-14 from mock-draft sources (Tankathon mock, CBS Sports mock), with NBA.com lottery context where applicable; Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Darius Acuff Jr.,6,6,6,5,8,2,consensus_reference,2,0.74,"Market prior compiled 2026-06-14 from mock-draft sources (Tankathon mock, CBS Sports mock), with NBA.com lottery context where applicable; Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Kingston Flemings,7,7,7,6,10,2,consensus_reference,2,0.74,"Market prior compiled 2026-06-14 from mock-draft sources (Tankathon mock, CBS Sports mock), with NBA.com lottery context where applicable; Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Aday Mara,8,18,8,7,11,2,consensus_reference,2,0.74,"Market prior compiled 2026-06-14 from mock-draft sources (Tankathon mock, CBS Sports mock), with NBA.com lottery context where applicable; Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Mikel Brown Jr.,8,9,8,6,12,2,consensus_reference,2,0.74,"Market prior compiled 2026-06-14 from mock-draft sources (Tankathon mock, CBS Sports mock), with NBA.com lottery context where applicable; Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Brayden Burries,10,8,10,8,13,3,consensus_reference,2,0.74,"Market prior compiled 2026-06-14 from mock-draft sources (Tankathon mock, CBS Sports mock), with NBA.com lottery context where applicable; Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Nate Ament,10,10,10,9,13,3,consensus_reference,2,0.74,"Market prior compiled 2026-06-14 from mock-draft sources (Tankathon mock, CBS Sports mock), with NBA.com lottery context where applicable; Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Tounde Yessoufou,11,11,11,9,15,3,consensus_reference,1,0.70,"Class A seed_manual market prior (B0-K2): high-upside hand-curated prospect; DraftMind-derived consensus_reference projection to give prediction_shadow / market alignment a reference point. Confidence is moderate because this is a DraftMind-compiled prior, not a multi-source mock consensus."
2026,Yaxel Lendeborg,12,12,12,11,14,3,consensus_reference,2,0.74,"Market prior compiled 2026-06-14 from mock-draft sources (Tankathon mock, CBS Sports mock), with NBA.com lottery context where applicable; Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Braylon Mullins,13,13,13,10,18,3,consensus_reference,1,0.70,Class A seed_manual market prior (B0-K2): movement shooter with elite 3pt%; DraftMind-derived consensus_reference projection. Confidence is moderate.
2026,Cameron Carr,14,14,14,12,17,3,consensus_reference,2,0.74,"Market prior compiled 2026-06-14 from mock-draft sources (Tankathon mock, CBS Sports mock), with NBA.com lottery context where applicable; Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Labaron Philon Jr.,14,11,14,12,17,3,consensus_reference,2,0.74,"Market prior compiled 2026-06-14 from mock-draft sources (Tankathon mock, CBS Sports mock), with NBA.com lottery context where applicable; Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Hannes Steinbach,16,15,16,13,20,4,consensus_reference,2,0.64,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock, CBS Sports mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Isiah Harwell,16,16,16,12,22,4,consensus_reference,1,0.64,Class A seed_manual market prior (B0-K2): two-way guard; DraftMind-derived consensus_reference projection. Confidence is moderate-to-low.
2026,Jayden Quaintance,16,19,16,15,24,4,consensus_reference,2,0.74,"Market prior refreshed 2026-06-19; projected range widened to reflect draft-day uncertainty; expected_pick unchanged; Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Karim Lopez,16,13,16,13,20,4,consensus_reference,2,0.64,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock, CBS Sports mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Dailyn Swain,18,21,18,16,21,4,consensus_reference,2,0.74,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock, CBS Sports mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Morez Johnson Jr.,17,17,17,14,19,4,consensus_reference,2,0.64,"Market prior refreshed 2026-06-19 post-6/14 mock-draft movement; conservative update to expected_pick and projected range; Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Nikolas Khamenia,20,20,20,16,26,4,consensus_reference,1,0.64,"Class A seed_manual market prior (B0-K2): connector wing, low risk; DraftMind-derived consensus_reference projection. Confidence is moderate-to-low."
2026,Bennett Stirtz,21,20,21,18,26,4,consensus_reference,2,0.64,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock, CBS Sports mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Chris Cenac Jr.,21,16,21,19,25,4,consensus_reference,2,0.74,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock, CBS Sports mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Cayden Boozer,22,22,22,18,28,4,consensus_reference,1,0.64,Class A seed_manual market prior (B0-K2): steady table-setting guard (distinct from Cameron Boozer); DraftMind-derived consensus_reference projection. Confidence is moderate-to-low.
2026,Henri Veesaar,22,29,22,19,27,4,consensus_reference,2,0.64,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock, CBS Sports mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Christian Anderson,20,22,20,16,23,4,consensus_reference,2,0.54,"Market prior refreshed 2026-06-19 post-6/14 mock-draft movement; conservative update to expected_pick and projected range; Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Isaiah Evans,23,26,23,20,28,4,consensus_reference,2,0.64,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock, CBS Sports mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Jasper Johnson,24,24,24,20,30,4,consensus_reference,1,0.64,Class A seed_manual market prior (B0-K2): shot-making combo guard; DraftMind-derived consensus_reference projection. Confidence is moderate-to-low.
2026,Koa Peat,24,25,24,21,29,4,consensus_reference,2,0.64,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock, CBS Sports mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Ebuka Okorie,25,24,25,22,29,4,consensus_reference,2,0.64,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock, CBS Sports mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Allen Graves,26,23,26,23,30,5,consensus_reference,2,0.64,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock, CBS Sports mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Meleek Thomas,27,28,27,25,30,5,consensus_reference,2,0.74,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock, CBS Sports mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Niko Bundalo,28,28,28,24,34,5,consensus_reference,1,0.54,Class A seed_manual market prior (B0-K2): pick-and-pop forward; DraftMind-derived consensus_reference projection. Confidence is low (late-first/early-second projection).
2026,Alex Karaban,29,32,29,28,31,5,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Joshua Jefferson,29,27,29,28,32,5,consensus_reference,2,0.74,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock, CBS Sports mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Tarris Reed Jr.,30,30,30,29,33,5,consensus_reference,2,0.74,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock, CBS Sports mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Ryan Conwell,32,36,32,31,34,5,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Zuby Ejiofor,33,33,33,32,35,5,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Luigi Suigo,34,34,34,33,36,5,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Richie Saunders,35,35,35,34,37,5,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Ugonna Onyenso,36,37,36,35,38,5,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Baba Miller,37,40,37,36,39,5,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Trevon Brazile,38,39,38,37,40,5,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Otega Oweh,39,42,39,38,41,5,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Sergio De Larrea,31,31,31,28,40,5,consensus_reference,1,0.54,"Market prior refreshed 2026-06-19 post-6/14 mock-draft movement; conservative update to expected_pick and projected range; Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Nick Martinelli,41,43,41,40,43,6,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Jaden Bradley,42,38,42,41,44,6,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Jack Kayil,43,41,43,42,45,6,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Braden Smith,44,50,44,43,46,6,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Emanuel Sharp,45,45,45,44,47,6,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Ja’Kobi Gillespie,46,44,46,45,48,6,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Milos Uzan,47,48,47,46,49,6,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Bruce Thornton,48,47,48,47,50,6,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Tyler Nickel,49,49,49,48,51,6,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Felix Okpara,50,53,50,49,52,6,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Izaiyah Nelson,51,46,51,50,53,6,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Maliq Brown,52,51,52,51,54,6,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Tamin Lipsey,53,54,53,52,55,6,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Tobi Lawal,54,57,54,53,56,6,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Keyshawn Hall,55,59,55,54,57,6,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Rafael Castro,56,58,56,55,58,6,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Tyler Bilodeau,58,52,58,57,60,6,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Kylan Boswell,59,56,59,58,60,6,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Pavle Bačko,60,55,60,59,60,6,consensus_reference,1,0.44,"Market prior compiled 2026-06-14 from accessible public mock-draft sources (Tankathon mock); Tankathon big-board rank is informational only and does not change expected_pick; consensus reference, not official."
2026,Quadir Copeland,65,65,65,62,67,6,consensus_reference,4,0.54,"compiled=2026-06-19; source_names=ESPN,ClutchPoints,Rookie Scale,NBA Scouting Live; evidence_type=projection_board; confidence_reason=multiple boards clustered in low-to-mid 60s; human_verified=yes; raw_text_included=no; caveat=not_a_lock"
2026,Vsevolod Ishchenko,68,68,68,54,73,6,consensus_reference,4,0.52,"compiled=2026-06-19; source_names=ESPN,ClutchPoints,Rookie Scale,NBA Scouting Live; evidence_type=projection_board; confidence_reason=multiple boards include him but range is wide; human_verified=yes; raw_text_included=no; caveat=not_a_lock"
2026,Noam Yaacov,68,68,68,58,83,6,consensus_reference,5,0.52,"compiled=2026-06-19; source_names=ESPN,Tankathon,ClutchPoints,Rookie Scale,NBA Scouting Live; evidence_type=projection_board; confidence_reason=several boards rank him but second-round range is broad; human_verified=yes; raw_text_included=no; caveat=not_a_lock"
2026,Seth Trimble,82,82,82,78,89,6,consensus_reference,4,0.52,"compiled=2026-06-19; source_names=ESPN,ClutchPoints,Rookie Scale,NBA Scouting Live; evidence_type=projection_board; confidence_reason=multiple boards cluster around late second/top-90; human_verified=yes; raw_text_included=no; caveat=not_a_lock"
2026,Oscar Cluff,84,84,84,59,97,6,consensus_reference,5,0.48,"compiled=2026-06-19; source_names=ESPN,The Athletic,ClutchPoints,Rookie Scale,NBA Scouting Live; evidence_type=projection_board; confidence_reason=multiple boards include him but spread is very wide; human_verified=yes; raw_text_included=no; caveat=not_a_lock"
